Tilda UID;Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;Price Old;Editions;Modifications;External ID;Parent UID;Characteristics:Цвет;Characteristics:Размер;Characteristics:Состав;Weight;Length;Width;Height
3,239E+11;;;;Худи и толстовки;Кардиган;Кардиган;;https://static.tildacdn.com/stor6463-3661-4433-b565-383533346536/41348262.jpg;;;;;;fa037918-3414-11ed-bc8c-18037346542a;;сиреневый;"XS/S (40-42); M/L (44-46)";65% хлопок, 27% полиэстер, 8% лайкра;0;0;0;0
5,25162E+11;;RE-CAR-L-01;;;Кардиган / XS/S (40-42)- XS/S (40-42);;;;7999.00;0;;Размеры:XS/S (40-42);;GGlCHr320fN1TYURKKkk;3,239E+11;;;;0;0;0;0
7,26799E+11;;RE-CAR-L-02;;;Кардиган / M/L (44-46)- M/L (44-46);;;;7999.00;1;;Размеры:M/L (44-46);;G73KUcYLmyUNhgjkkNrE;3,239E+11;;;;0;0;0;0
8,1368E+11;;;;Худи и толстовки;Кардиган флисовый;;;https://static.tildacdn.com/stor6461-6234-4439-a333-653732346461/40207556.jpg;;;;;;fa037925-3414-11ed-bc8c-18037346542a;;сине-зеленый;;100% полиэстер;0;0;0;0
8,40644E+11;;RE-CAR-BG-01;;;Кардиган флисовый / XS-S- XS-S;;;;9990.00;1;;Размеры:XS-S;;LZnB2y5XBks9ZMzyecOn;8,1368E+11;;;;0;0;0;0
5,32788E+11;;RE-CAR-BG-02;;;Кардиган флисовый / M-L- M-L;;;;9990.00;1;;Размеры:M-L;;BHnenv9rjBfzMiYc26fi;8,1368E+11;;;;0;0;0;0
2,57494E+11;;RE-TR-WH-01;;"Брюки и шорты;SOFT TOUCH";Брюки для йоги;Брюки для йоги;;https://static.tildacdn.com/stor6165-3366-4739-b333-393337623733/72451485.jpg;5199.00;1;;;;9fd1c4b2-3426-11ed-bc8c-18037346542a;;белый;onesize;70% вискоза, 25% полиэстер, 5% эластан;0;0;0;0
2,75178E+11;;RE-TR-PIN-05;;"Брюки и шорты;SOFT TOUCH";Брюки для йоги;Брюки для йоги;;https://static.tildacdn.com/stor6334-3537-4561-b639-666436636532/90727682.jpg;5199.00;5;;;;9fd1c4b5-3426-11ed-bc8c-18037346542a;;розовый;onesize;70% вискоза, 25% полиэстер, 5% эластан;0;0;0;0
1,74307E+11;;;;"Брюки и шорты;SOFT TOUCH";Брюки прямые;Брюки;;https://static.tildacdn.com/stor6564-3139-4539-a431-363865663738/18045077.jpg;;;;;;9fd1c4bc-3426-11ed-bc8c-18037346542a;;коричневый;"XS/S (40-42); M/L (44-46) L (46)";95% полиэстер 5% спандекс;0;0;0;0
6,57408E+11;;RE-TR-PR-01;;;Брюки прямые / XS/S (40-42)- XS/S (40-42);;;;7190.00;1;;Размеры:XS/S (40-42);;AJozULDC7uBvH6Z8zadm;1,74307E+11;;;;0;0;0;0
2,57559E+11;;RE-TR-PR-02;;;Брюки прямые / M/L (44-46)- M/L (44-46);;;;7190.00;1;;Размеры:M/L (44-46);;LDf9O3hzCfXaLXfg4TeT;1,74307E+11;;;;0;0;0;0
6,1644E+11;;RE-TR-PR-03;;;Брюки прямые / l (46)- l (46);;;;7190.00;1;;Размеры:l (46);;zYsOEgE1I7eeDguobzRV;1,74307E+11;;;;0;0;0;0
9,28386E+11;;;;"Брюки и шорты;SOFT TOUCH";Брюки прямые;;;https://static.tildacdn.com/stor3335-3237-4734-b064-393434646563/60307564.jpg;;;;;;9fd1c4c5-3426-11ed-bc8c-18037346542a;;белый;"XS/S (40-42); M/L (44-46)";95% полиэстер 5% спандекс;0;0;0;0
3,39511E+11;;RE-TR-W-01;;;Брюки прямые / XS/S (40-42)- XS/S (40-42);;;;7190.00;;;Размеры:XS/S (40-42);;EiY7uPf1MZUgsfddlmRV;9,28386E+11;;;;0;0;0;0
4,4364E+11;;RE-TR-W-02;;;Брюки прямые / M/L (44-46)- M/L (44-46);;;;7190.00;;;Размеры:M/L (44-46);;2ccvMHAYTysNntd6kI36;9,28386E+11;;;;0;0;0;0
8,9221E+11;;RE-TR-W-03;;;Брюки прямые / l (46)- l (46);;;;7190.00;;;Размеры:l (46);;gJKGKnScGXEZNeHVl9dI;9,28386E+11;;;;0;0;0;0
1,8696E+11;;;;"Брюки и шорты;SOFT TOUCH";Брюки прямые;Брюки;;https://static.tildacdn.com/stor3065-3562-4731-a661-313338333761/97172564.jpg;;;;;;9fd1c4ca-3426-11ed-bc8c-18037346542a;;синий;"XS/S (40-42); M/L (44-46) L (46)";95% полиэстер , 5% спандекс;0;0;0;0
1,94686E+11;;RE-TR-DBLUE-01;;;Брюки прямые / XS/S (40-42)- XS/S (40-42);;;;7190.00;10;;Размеры:XS/S (40-42);;ZGiDK1SNrM75a5uKzC0P;1,8696E+11;;;;0;0;0;0
8,02116E+11;;RE-TR-DBLUE-02;;;Брюки прямые / M/L (44-46)- M/L (44-46);;;;7190.00;10;;Размеры:M/L (44-46);;tI5AgFV35FeFFME1MNle;1,8696E+11;;;;0;0;0;0
1,27953E+11;;RE-TR-DBLUE-03;;;Брюки прямые / L (46)- L (46);;;;7190.00;5;;Размеры:L (46);;oardEusY6JvnyarYVZoL;1,8696E+11;;;;0;0;0;0
7,16436E+11;;;;"Брюки и шорты;SOFT TOUCH";Брюки прямые;;;https://static.tildacdn.com/stor3233-3361-4661-a261-623666313138/59207563.jpg;;;;;;9fd1c4ce-3426-11ed-bc8c-18037346542a;;черный;"XS/S (40-42); M/L (44-46)";95% полиэстер 5% спандекс;0;0;0;0
4,80046E+11;;RE-TR-BL-01;;;Брюки прямые / XS/S (40-42)- XS/S (40-42);;;;7190.00;16;;Размеры:XS/S (40-42);;ZfoOnJ0aNUY0VtiigOJe;7,16436E+11;;;;0;0;0;0
3,58067E+11;;RE-TR-BL-02;;;Брюки прямые / M/L (44-46)- M/L (44-46);;;;7190.00;10;;Размеры:M/L (44-46);;gbJh8ACNn0UP6kuLdj4I;7,16436E+11;;;;0;0;0;0
5,75662E+11;;RE-TR-BL-03;;;Брюки прямые / l (46)- l (46);;;;7190.00;10;;Размеры:l (46);;VD8aUvABLEuFAa4M2dfV;7,16436E+11;;;;0;0;0;0
6,77751E+11;;;;Брюки и шорты;Брюки плащевые;;;https://static.tildacdn.com/stor6330-6131-4762-b561-663835636639/86071373.jpg;;;;;;26c87198-342c-11ed-bc8c-18037346542a;;голубой-мультиколор;;100% полиэстер;0;0;0;0
8,61997E+11;;RE-TR-BMP-01;;;Брюки плащевые / XS-S- XS-S;;;;10390.00;10;;Размеры:XS-S;;xkS98jHZbhYlVlNuFyAp;6,77751E+11;;;;0;0;0;0
3,58707E+11;;RE-TR-BMP-02;;;Брюки плащевые / M-L- M-L;;;;10390.00;;;Размеры:M-L;;j9GYprZxHtVEoO3j2Sgi;6,77751E+11;;;;0;0;0;0
6,71629E+11;;;;Брюки и шорты;Брюки плащевые;;;https://static.tildacdn.com/stor3134-3236-4561-a236-633765306532/74964112.jpg;;;;;;26c8719d-342c-11ed-bc8c-18037346542a;;хаки-мультиколор;XS/S (40-42);100% полиэфир;0;0;0;0
7,71806E+11;;RE-TR-HM-01;;;Брюки плащевые / XS-S- XS-S;;;;10390.00;7;;Размеры:XS-S;;yHX866RsljMyXFYCyM8B;6,71629E+11;;;;0;0;0;0
5,46849E+11;;RE-TR-HM-02;;;Брюки плащевые / M-L- M-L;;;;10390.00;6;;Размеры:M-L;;FCCBnfm4bh9maf9xAT6a;6,71629E+11;;;;0;0;0;0
7,79577E+11;;RE-TS-W-01;;"Топы и футболки;SOFT TOUCH";Футболка-туника;Футболка-туника;;https://static.tildacdn.com/stor3035-3030-4938-b965-643137626430/48489257.jpg;5890.00;5;;;;097b3276-3434-11ed-bc8c-18037346542a;;белый;onesize;70% вискоза, 25% полиэстер, 5% эластан;0;0;0;0
5,35241E+11;;RE-TS-O-01;;Топы и футболки;Кроп-топ;Кроп-топ;;https://static.tildacdn.com/stor6530-6665-4531-a461-626661366435/49243797.jpg;4790.00;1;;;;097b3292-3434-11ed-bc8c-18037346542a;;оранжевый;oversize;70% вискоза, 25% полиэстер, 5% эластан;0;0;0;0
1,30016E+11;;RE-TS-HA-01;;"Топы и футболки;SOFT TOUCH";Кроп-топ;;;https://static.tildacdn.com/stor6462-3734-4539-a261-393166336234/12172108.jpg;4790.00;5;;;;097b3294-3434-11ed-bc8c-18037346542a;;Хакки;oversize;70% вискоза, 25% полиэстер, 5% эластан;0;0;0;0
6,37237E+11;;RE-TS-PR-02;;"Топы и футболки;SOFT TOUCH";Кроп-топ;;;https://static.tildacdn.com/stor3565-6537-4339-b464-396435653935/82091488.jpg;4790.00;3;;;;097b3296-3434-11ed-bc8c-18037346542a;;пыльно-розовый;oversize;70% вискоза, 25% полиэстер, 5% эластан;0;0;0;0
8,78488E+11;;RE-TS-TU-02;;"Топы и футболки;SOFT TOUCH";Кроп-топ;;;https://static.tildacdn.com/stor3762-6666-4131-b534-333239343032/13165162.jpg;4790.00;17;;;;097b329d-3434-11ed-bc8c-18037346542a;;бирюза;oversize;70% вискоза, 25% полиэстер, 5% эластан;0;0;0;0
3,02603E+11;;;;Топы и футболки;Топ соты;;;https://static.tildacdn.com/stor3061-3339-4631-b537-636637366530/59433065.jpg;;;;;;097b32a8-3434-11ed-bc8c-18037346542a;;сиреневый;;65% хлопок, 27% полиэстер, 8% лайкра;0;0;0;0
4,88202E+11;;RE-T-L-01;;;Топ соты / XS-S- XS-S;;;;3899.00;1;;Размеры:XS-S;;TJmC6jvGrAgZLfCXahLA;3,02603E+11;;;;0;0;0;0
9,69418E+11;;RE-T-L-02;;;Топ соты / M-L- M-L;;;;3899.00;0;;Размеры:M-L;;kfamp05utDzgpZsTXZUf;3,02603E+11;;;;0;0;0;0
9,39919E+11;;;;Топы и футболки;Топ соты;;;https://static.tildacdn.com/stor3963-6636-4236-a565-306635613266/84753021.jpg;;;;;;097b32ac-3434-11ed-bc8c-18037346542a;;розовый;;65% хлопок, 27% полиэстер, 8% лайкра;0;0;0;0
9,55985E+11;;RE-T-P-03;;;Топ соты / XS-S- XS-S;;;;3899.00;1;;Размеры:XS-S;;zfTPvi4s9oVDy6G6YZZy;9,39919E+11;;;;0;0;0;0
3,29163E+11;;RE-T-P-04;;;Топ соты / M-L- M-L;;;;3899.00;2;;Размеры:M-L;;7OPgB5XZRv7vB5lctgx1;9,39919E+11;;;;0;0;0;0
